BioProject,Run,LibraryStrategy,Annotation
PRJDB16373,DRR495762,OTHER,Ribo-Seq
PRJDB16373,DRR495774,RNA-Seq,RNA-Seq
PRJDB16373,DRR495763,OTHER,Ribo-Seq
PRJDB16373,DRR495775,RNA-Seq,RNA-Seq
PRJDB16373,DRR495764,OTHER,Ribo-Seq
PRJDB16373,DRR495776,RNA-Seq,RNA-Seq
PRJDB16373,DRR495777,RNA-Seq,RNA-Seq
PRJDB16373,DRR495765,OTHER,Ribo-Seq
PRJDB16373,DRR495778,RNA-Seq,RNA-Seq
PRJDB16373,DRR495766,OTHER,Ribo-Seq
PRJDB16373,DRR495767,OTHER,Ribo-Seq
PRJDB16373,DRR495779,RNA-Seq,RNA-Seq
PRJDB16373,DRR495768,OTHER,Ribo-Seq
PRJDB16373,DRR495780,RNA-Seq,RNA-Seq
PRJDB16373,DRR495769,OTHER,Ribo-Seq
PRJDB16373,DRR495781,RNA-Seq,RNA-Seq
PRJDB16373,DRR495782,RNA-Seq,RNA-Seq
PRJDB16373,DRR495770,OTHER,Ribo-Seq
PRJDB16373,DRR495783,RNA-Seq,RNA-Seq
PRJDB16373,DRR495771,OTHER,Ribo-Seq
PRJDB16373,DRR495772,OTHER,Ribo-Seq
PRJDB16373,DRR495784,RNA-Seq,RNA-Seq
PRJDB16373,DRR495773,OTHER,Ribo-Seq
PRJDB16373,DRR495785,RNA-Seq,RNA-Seq
