BioProject,Run,LibraryStrategy,Annotation
PRJEB69686,ERR12268564,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268570,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268571,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268573,OTHER,Ribo-Seq
PRJEB69686,ERR12268577,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268582,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268583,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268584,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268585,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268586,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268587,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268590,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268563,OTHER,Ribo-Seq
PRJEB69686,ERR12268565,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268566,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268567,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268568,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268569,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268572,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268574,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268575,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268576,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268578,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268579,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268580,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268581,RNA-Seq,RNA-Seq
PRJEB69686,ERR12268588,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268589,ncRNA-Seq,ncRNA-Seq
PRJEB69686,ERR12268591,ncRNA-Seq,ncRNA-Seq
