BioProject,Run,LibraryStrategy,Annotation
PRJNA1074242,SRR27899688,OTHER,Ribo-Seq
PRJNA1074242,SRR27899687,OTHER,Ribo-Seq
PRJNA1074242,SRR27899686,OTHER,Ribo-Seq
PRJNA1074242,SRR27899685,OTHER,Ribo-Seq
PRJNA1074242,SRR27899684,OTHER,Ribo-Seq
PRJNA1074242,SRR27899683,OTHER,Ribo-Seq
PRJNA1074242,SRR27899682,RNA-Seq,RNA-Seq
PRJNA1074242,SRR27899681,RNA-Seq,RNA-Seq
PRJNA1074242,SRR27899680,RNA-Seq,RNA-Seq
PRJNA1074242,SRR27899679,RNA-Seq,RNA-Seq
PRJNA1074242,SRR27899678,RNA-Seq,RNA-Seq
PRJNA1074242,SRR27899677,RNA-Seq,RNA-Seq
