Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,molecule_subtype
SRR27899677,RNA-Seq,50,2234570900,PRJNA1074242,SAMN39854437,956978058,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559922,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067257,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T09:52:00Z,1,GSM8067257,CD8+ T cells,SRP488614,Vehicle Control,
SRR27899678,RNA-Seq,50,2366188900,PRJNA1074242,SAMN39854438,1010308699,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559921,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067256,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:58:00Z,1,GSM8067256,CD8+ T cells,SRP488614,Vehicle Control,
SRR27899679,RNA-Seq,50,2611710750,PRJNA1074242,SAMN39854439,1113701993,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559920,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067255,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:58:00Z,1,GSM8067255,CD8+ T cells,SRP488614,Vehicle Control,
SRR27899680,RNA-Seq,50,2364336250,PRJNA1074242,SAMN39854440,1006215076,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559919,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067254,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:58:00Z,1,GSM8067254,CD8+ T cells,SRP488614,Halofuginone (Halo),
SRR27899681,RNA-Seq,50,1917118400,PRJNA1074242,SAMN39854441,817087540,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559918,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067253,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:57:00Z,1,GSM8067253,CD8+ T cells,SRP488614,Halofuginone (Halo),
SRR27899682,RNA-Seq,50,3038842350,PRJNA1074242,SAMN39854442,1285167761,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559917,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067252,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:59:00Z,1,GSM8067252,CD8+ T cells,SRP488614,Halofuginone (Halo),
SRR27899683,OTHER,50,2526071950,PRJNA1074242,SAMN39854443,1087149756,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559916,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067251,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:58:00Z,1,GSM8067251,CD8+ T cells,SRP488614,Vehicle Control,ribosome-protected RNA Fragments (RPF)
SRR27899684,OTHER,50,2102628800,PRJNA1074242,SAMN39854444,906923973,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559915,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067250,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T09:02:00Z,1,GSM8067250,CD8+ T cells,SRP488614,Vehicle Control,ribosome-protected RNA Fragments (RPF)
SRR27899685,OTHER,50,2414749300,PRJNA1074242,SAMN39854445,1042149641,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559914,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067249,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T08:58:00Z,1,GSM8067249,CD8+ T cells,SRP488614,Vehicle Control,ribosome-protected RNA Fragments (RPF)
SRR27899686,OTHER,50,2104460250,PRJNA1074242,SAMN39854446,910137360,CD8+ T cells,"TUMOR IMMUNOTHERAPY PROGRAM, UNIVERSITY HEALTH NETWORK",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23559913,C57BL/6,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8067248,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-17T00:00:00Z,2024-02-07T09:01:00Z,1,GSM8067248,CD8+ T cells,SRP488614,Halofuginone (Halo),ribosome-protected RNA Fragments (RPF)
