Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time,treatment
SRR29477260,OTHER,86,3780970908,PRJNA1126209,SAMN41934743,1332937016,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989208,uncalculated,uncalculated,missing,NextSeq 500,GSM8339720,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339720,WiT49,SRP515023,2wk,DMSO
SRR29477261,OTHER,86,2255781204,PRJNA1126209,SAMN41934744,833952830,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989207,uncalculated,uncalculated,missing,NextSeq 500,GSM8339719,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339719,WiT49,SRP515023,2wk,actD
SRR29477262,OTHER,86,2844043392,PRJNA1126209,SAMN41934745,1023058573,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989206,uncalculated,uncalculated,missing,NextSeq 500,GSM8339718,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:28:00Z,1,GSM8339718,WiT49,SRP515023,2wk,actD
SRR29477263,OTHER,86,3542152692,PRJNA1126209,SAMN41934746,1290768641,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989205,uncalculated,uncalculated,missing,NextSeq 500,GSM8339717,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:24:00Z,1,GSM8339717,WiT49,SRP515023,2wk,actD
SRR29477264,OTHER,84,2412253872,PRJNA1126209,SAMN41934747,907620986,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989204,uncalculated,uncalculated,missing,NextSeq 500,GSM8339716,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339716,WiT49,SRP515023,72hr,DMSO
SRR29477265,OTHER,84,1667704164,PRJNA1126209,SAMN41934748,631806425,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989203,uncalculated,uncalculated,missing,NextSeq 500,GSM8339715,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339715,WiT49,SRP515023,72hr,DMSO
SRR29477266,OTHER,86,4078523770,PRJNA1126209,SAMN41934749,1455116205,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989202,uncalculated,uncalculated,missing,NextSeq 500,GSM8339714,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:26:00Z,1,GSM8339714,WiT49,SRP515023,72hr,DMSO
SRR29477267,OTHER,84,3870099240,PRJNA1126209,SAMN41934750,1475970286,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989201,uncalculated,uncalculated,missing,NextSeq 500,GSM8339713,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339713,WiT49,SRP515023,72hr,actD
SRR29477268,OTHER,84,2100412188,PRJNA1126209,SAMN41934751,811697815,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989200,uncalculated,uncalculated,missing,NextSeq 500,GSM8339712,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339712,WiT49,SRP515023,72hr,actD
SRR29477269,OTHER,84,4092280920,PRJNA1126209,SAMN41934752,1553653113,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989199,uncalculated,uncalculated,missing,NextSeq 500,GSM8339711,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339711,WiT49,SRP515023,72hr,actD
SRR29477270,OTHER,76,1865498432,PRJNA1126209,SAMN41934753,718056902,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989198,uncalculated,uncalculated,missing,NextSeq 500,GSM8339710,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:24:00Z,1,GSM8339710,WiT49,SRP515023,6hr,DMSO
SRR29477271,OTHER,76,2034845888,PRJNA1126209,SAMN41934754,756610243,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989197,uncalculated,uncalculated,missing,NextSeq 500,GSM8339709,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339709,WiT49,SRP515023,6hr,DMSO
SRR29477272,OTHER,76,2342244912,PRJNA1126209,SAMN41934755,871060487,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989196,uncalculated,uncalculated,missing,NextSeq 500,GSM8339708,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:24:00Z,1,GSM8339708,WiT49,SRP515023,6hr,DMSO
SRR29477273,OTHER,76,1587435636,PRJNA1126209,SAMN41934756,592647513,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989195,uncalculated,uncalculated,missing,NextSeq 500,GSM8339707,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339707,WiT49,SRP515023,6hr,actD
SRR29477274,OTHER,76,1368425676,PRJNA1126209,SAMN41934757,518898904,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989194,uncalculated,uncalculated,missing,NextSeq 500,GSM8339706,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339706,WiT49,SRP515023,6hr,actD
SRR29477275,OTHER,76,1841985628,PRJNA1126209,SAMN41934758,699091972,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989193,uncalculated,uncalculated,missing,NextSeq 500,GSM8339705,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:23:00Z,1,GSM8339705,WiT49,SRP515023,6hr,actD
SRR29477276,OTHER,86,3005401494,PRJNA1126209,SAMN41934741,1083820245,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989192,uncalculated,uncalculated,missing,NextSeq 500,GSM8339722,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339722,WiT49,SRP515023,2wk,DMSO
SRR29477277,OTHER,86,4180953038,PRJNA1126209,SAMN41934742,1537170892,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989191,uncalculated,uncalculated,missing,NextSeq 500,GSM8339721,SINGLE,other,OTHER,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339721,WiT49,SRP515023,2wk,DMSO
SRR29477278,RNA-Seq,202,5157123024,PRJNA1126209,SAMN41934759,1583476842,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989190,uncalculated,uncalculated,missing,NextSeq 500,GSM8339704,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339704,WiT49,SRP515023,2wk,DMSO
SRR29477279,RNA-Seq,202,5534301060,PRJNA1126209,SAMN41934760,1717863535,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989189,uncalculated,uncalculated,missing,NextSeq 500,GSM8339703,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:26:00Z,1,GSM8339703,WiT49,SRP515023,2wk,DMSO
SRR29477280,RNA-Seq,202,6157351880,PRJNA1126209,SAMN41934761,1912778996,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989188,uncalculated,uncalculated,missing,NextSeq 500,GSM8339702,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:26:00Z,1,GSM8339702,WiT49,SRP515023,2wk,DMSO
SRR29477281,RNA-Seq,202,5072598346,PRJNA1126209,SAMN41934762,1589390923,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989187,uncalculated,uncalculated,missing,NextSeq 500,GSM8339701,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339701,WiT49,SRP515023,2wk,actD
SRR29477282,RNA-Seq,202,6244333080,PRJNA1126209,SAMN41934763,1955048250,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989186,uncalculated,uncalculated,missing,NextSeq 500,GSM8339700,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339700,WiT49,SRP515023,2wk,actD
SRR29477283,RNA-Seq,202,5653404906,PRJNA1126209,SAMN41934764,1757502394,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989185,uncalculated,uncalculated,missing,NextSeq 500,GSM8339699,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:24:00Z,1,GSM8339699,WiT49,SRP515023,2wk,actD
SRR29477284,RNA-Seq,76,7299299920,PRJNA1126209,SAMN41934765,2905994727,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989184,uncalculated,uncalculated,missing,NextSeq 500,GSM8339698,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:30:00Z,1,GSM8339698,WiT49,SRP515023,72hr,DMSO
SRR29477285,RNA-Seq,76,5194768872,PRJNA1126209,SAMN41934766,2093801032,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989183,uncalculated,uncalculated,missing,NextSeq 500,GSM8339697,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:28:00Z,1,GSM8339697,WiT49,SRP515023,72hr,DMSO
SRR29477286,RNA-Seq,76,4751401440,PRJNA1126209,SAMN41934767,1929631675,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989182,uncalculated,uncalculated,missing,NextSeq 500,GSM8339696,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:27:00Z,1,GSM8339696,WiT49,SRP515023,72hr,DMSO
SRR29477287,RNA-Seq,76,5919792912,PRJNA1126209,SAMN41934768,2381671824,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989181,uncalculated,uncalculated,missing,NextSeq 500,GSM8339695,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:35:00Z,1,GSM8339695,WiT49,SRP515023,72hr,actD
SRR29477288,RNA-Seq,76,6043811612,PRJNA1126209,SAMN41934769,2426892846,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989180,uncalculated,uncalculated,missing,NextSeq 500,GSM8339694,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:29:00Z,1,GSM8339694,WiT49,SRP515023,72hr,actD
SRR29477289,RNA-Seq,76,5901209848,PRJNA1126209,SAMN41934770,2385907123,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989179,uncalculated,uncalculated,missing,NextSeq 500,GSM8339693,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:29:00Z,1,GSM8339693,WiT49,SRP515023,72hr,actD
SRR29477290,RNA-Seq,202,7154247534,PRJNA1126209,SAMN41934771,2269111035,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989178,uncalculated,uncalculated,missing,NextSeq 500,GSM8339692,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:26:00Z,1,GSM8339692,WiT49,SRP515023,6hr,DMSO
SRR29477291,RNA-Seq,202,7113074480,PRJNA1126209,SAMN41934772,2240320082,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989177,uncalculated,uncalculated,missing,NextSeq 500,GSM8339691,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:26:00Z,1,GSM8339691,WiT49,SRP515023,6hr,DMSO
SRR29477292,RNA-Seq,202,7481578434,PRJNA1126209,SAMN41934773,2366147239,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989176,uncalculated,uncalculated,missing,NextSeq 500,GSM8339690,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:27:00Z,1,GSM8339690,WiT49,SRP515023,6hr,DMSO
SRR29477293,RNA-Seq,202,6745568810,PRJNA1126209,SAMN41934774,2131396882,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989175,uncalculated,uncalculated,missing,NextSeq 500,GSM8339689,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339689,WiT49,SRP515023,6hr,actD
SRR29477294,RNA-Seq,202,6931368410,PRJNA1126209,SAMN41934775,2186617233,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989174,uncalculated,uncalculated,missing,NextSeq 500,GSM8339688,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:25:00Z,1,GSM8339688,WiT49,SRP515023,6hr,actD
SRR29477295,RNA-Seq,202,6875540054,PRJNA1126209,SAMN41934776,2185052435,WiT49,Wilms tumor,"PEDIATRICS, UT SOUTHWESTERN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24989173,uncalculated,uncalculated,missing,NextSeq 500,GSM8339687,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-06-22T00:00:00Z,2024-06-20T14:27:00Z,1,GSM8339687,WiT49,SRP515023,6hr,actD
