Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,Experiment,female_mice_donor_genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue
SRR24207624,OTHER,100,5017553700,PRJNA956972,SAMN34239064,1987487771,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early 2-cell,SRX20004192,Eif4e1b Het; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183985,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:58:00Z,1,GSM7183985,Early 2-cell embryos,SRP433275,B6D2F1,Early 2-cell embryos
SRR24207625,OTHER,100,4295265300,PRJNA956972,SAMN34239066,1704434330,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",PN5,SRX20004190,Eif4e1b Het; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183983,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:29:00Z,1,GSM7183983,PN5 zygotes,SRP433275,B6D2F1,PN5 zygotes
SRR24207626,OTHER,100,3549298300,PRJNA956972,SAMN34239068,1302549622,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early 2-cell,SRX20004188,Eif4e1b KO; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183981,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:27:00Z,1,GSM7183981,Early 2-cell embryos,SRP433275,B6D2F1,Early 2-cell embryos
SRR24207627,OTHER,100,3632626100,PRJNA956972,SAMN34239069,1346610706,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early 2-cell,SRX20004187,Eif4e1b Het; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183980,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:27:00Z,1,GSM7183980,Early 2-cell embryos,SRP433275,B6D2F1,Early 2-cell embryos
SRR24207628,OTHER,100,3454470200,PRJNA956972,SAMN34239067,1263481445,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early 2-cell,SRX20004189,Eif4e1b KO; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183982,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:27:00Z,1,GSM7183982,Early 2-cell embryos,SRP433275,B6D2F1,Early 2-cell embryos
SRR24207629,OTHER,100,5508745400,PRJNA956972,SAMN34239065,2226051748,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",PN5,SRX20004191,Eif4e1b KO; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183984,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:32:00Z,1,GSM7183984,PN5 zygotes,SRP433275,B6D2F1,PN5 zygotes
SRR24207630,OTHER,100,3300930500,PRJNA956972,SAMN34239070,1236972982,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early 2-cell,SRX20004186,Eif4e1b Het; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183979,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:26:00Z,1,GSM7183979,Early 2-cell embryos,SRP433275,B6D2F1,Early 2-cell embryos
SRR24207631,OTHER,100,3114390200,PRJNA956972,SAMN34239071,1176330750,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",PN5,SRX20004185,Eif4e1b KO; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183978,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:25:00Z,1,GSM7183978,PN5 zygotes,SRP433275,B6D2F1,PN5 zygotes
SRR24207632,OTHER,100,2910664300,PRJNA956972,SAMN34239073,1111154382,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",PN5,SRX20004183,Eif4e1b Het; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183976,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:26:00Z,1,GSM7183976,PN5 zygotes,SRP433275,B6D2F1,PN5 zygotes
SRR24207633,OTHER,100,3159303300,PRJNA956972,SAMN34239075,1213628895,"LABORATORY OF CELLULAR AND DEVELOPMENTAL BIOLOGY, NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES, NATIONAL INSTITUTES OF HEALTH",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",M2,SRX20004181,Eif4e1b KO; Rpl22 HA,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7183974,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2023-06-07T00:00:00Z,2023-04-18T23:26:00Z,1,GSM7183974,M2 eggs,SRP433275,B6D2F1,M2 eggs
